timeHMS,emotion_level,subject
2020-11-11 12:40:17,1,D
2020-11-11 12:40:21,1,B
2020-11-11 12:40:28,2,C
2020-11-11 12:40:37,1,B
2020-11-11 12:40:54,0,B
2020-11-11 12:41:04,3,D
2020-11-11 12:41:27,1,B
2020-11-11 12:41:36,3,B
2020-11-11 12:42:19,2,C
2020-11-11 12:42:59,1,B
2020-11-11 12:43:45,0,B
2020-11-11 12:44:09,1,B
2020-11-11 12:44:39,2,D
2020-11-11 12:45:09,-1,B
2020-11-11 12:45:48,0,B
2020-11-11 12:46:50,2,C
2020-11-11 12:48:10,1,B
2020-11-11 12:49:08,4,C
2020-11-11 12:50:03,4,B
2020-11-11 12:50:29,1,C
2020-11-11 12:50:45,2,C
2020-11-11 12:50:54,2,B
2020-11-11 12:52:14,1,B
2020-11-11 12:52:20,2,C
2020-11-11 12:52:26,3,B
2020-11-11 12:52:36,2,D
2020-11-11 12:53:30,3,C
2020-11-11 12:53:55,2,B
2020-11-11 12:54:49,2,C
