timeHMS,emotion_level,subject
2020-11-11 12:40:05,0,A
2020-11-11 12:40:17,0,D
2020-11-11 12:40:29,0,C
2020-11-11 12:40:42,0,A
2020-11-11 12:41:04,2,D
2020-11-11 12:41:15,2,A
2020-11-11 12:42:20,3,C
2020-11-11 12:43:30,2,A
2020-11-11 12:43:59,4,A
2020-11-11 12:44:40,1,D
2020-11-11 12:45:28,3,A
2020-11-11 12:46:50,1,C
2020-11-11 12:46:55,0,A
2020-11-11 12:47:00,0,C
2020-11-11 12:47:13,0,C
2020-11-11 12:47:55,1,A
2020-11-11 12:48:37,2,A
2020-11-11 12:49:12,1,C
2020-11-11 12:49:21,0,A
2020-11-11 12:49:26,0,C
2020-11-11 12:50:15,2,A
2020-11-11 12:50:28,1,C
2020-11-11 12:52:05,1,C
2020-11-11 12:52:36,3,D
2020-11-11 12:53:37,2,C
