timeHMS,emotion_level,subject
2020-11-11 15:15:11,0,D
2020-11-11 15:15:21,-1,B
2020-11-11 15:15:53,2,D
2020-11-11 15:15:59,1,C
2020-11-11 15:16:08,2,D
2020-11-11 15:17:08,0,C
2020-11-11 15:17:26,-1,B
2020-11-11 15:18:20,2,B
2020-11-11 15:18:32,1,C
2020-11-11 15:18:53,0,B
2020-11-11 15:19:14,2,C
2020-11-11 15:19:44,-2,C
2020-11-11 15:19:59,2,B
2020-11-11 15:20:37,2,D
2020-11-11 15:20:39,2,B
2020-11-11 15:21:07,0,C
2020-11-11 15:21:08,0,B
2020-11-11 15:21:20,1,D
2020-11-11 15:21:42,0,B
2020-11-11 15:22:02,1,D
2020-11-11 15:22:07,-1,C
2020-11-11 15:22:24,0,D
2020-11-11 15:22:33,1,B
2020-11-11 15:23:06,2,B
2020-11-11 15:23:12,-1,D
2020-11-11 15:23:32,-2,C
2020-11-11 15:23:47,2,B
2020-11-11 15:24:20,0,B
2020-11-11 15:24:50,0,D
2020-11-11 15:24:58,2,B
2020-11-11 15:25:47,2,B
2020-11-11 15:26:26,0,C
2020-11-11 15:26:39,1,B
2020-11-11 15:27:14,1,D
2020-11-11 15:27:30,-1,C
2020-11-11 15:28:07,0,B
2020-11-11 15:28:20,1,B
2020-11-11 15:28:32,2,C
2020-11-11 15:28:50,0,D
2020-11-11 15:29:14,-2,C
2020-11-11 15:29:34,0,B
2020-11-11 15:29:49,-1,C
