timeHMS,emotion_level,subject
2020-11-11 12:40:06,3,A
2020-11-11 12:40:38,3,B
2020-11-11 12:40:44,3,A
2020-11-11 12:40:55,2,B
2020-11-11 12:41:05,3,D
2020-11-11 12:41:15,3,A
2020-11-11 12:41:28,4,B
2020-11-11 12:42:40,3,D
2020-11-11 12:43:00,2,B
2020-11-11 12:43:30,3,A
2020-11-11 12:43:46,0,B
2020-11-11 12:43:59,2,A
2020-11-11 12:44:09,4,B
2020-11-11 12:44:23,1,B
2020-11-11 12:44:27,3,B
2020-11-11 12:44:39,1,D
2020-11-11 12:45:09,3,B
2020-11-11 12:45:27,4,A
2020-11-11 12:45:38,0,D
2020-11-11 12:45:40,0,A
2020-11-11 12:45:48,3,B
2020-11-11 12:46:27,1,B
2020-11-11 12:46:37,2,B
2020-11-11 12:46:41,0,A
2020-11-11 12:46:55,3,A
2020-11-11 12:47:30,0,A
2020-11-11 12:47:46,2,A
2020-11-11 12:47:51,2,B
2020-11-11 12:47:54,3,A
2020-11-11 12:48:10,1,B
2020-11-11 12:48:19,2,B
2020-11-11 12:48:26,0,A
2020-11-11 12:48:33,1,D
2020-11-11 12:48:37,4,A
2020-11-11 12:49:22,3,A
2020-11-11 12:49:37,0,A
2020-11-11 12:50:02,2,B
2020-11-11 12:50:16,1,A
2020-11-11 12:50:21,1,B
2020-11-11 12:50:36,2,A
2020-11-11 12:50:50,0,A
2020-11-11 12:50:53,4,B
2020-11-11 12:51:18,2,B
2020-11-11 12:51:27,3,B
2020-11-11 12:52:10,2,A
2020-11-11 12:52:14,2,B
2020-11-11 12:52:27,3,B
2020-11-11 12:52:37,3,D
2020-11-11 12:52:47,3,D
2020-11-11 12:52:51,0,B
2020-11-11 12:53:55,3,B
2020-11-11 12:54:14,2,B
2020-11-11 12:54:40,1,A
