accx_mean,accy_mean,accz_mean,gyrx_mean,gyry_mean,gyrz_mean,accx_var,accy_var,accz_var,gyrx_var,gyry_var,gyrz_var,accx_max,accy_max,accz_max,gyrx_max,gyry_max,gyrz_max,accx_min,accy_min,accz_min,gyrx_min,gyry_min,gyrz_min,accn_max_fq,accn_max_peak,gyrn_max_fq,gyrn_max_peak
9764.14,-528.05,-3037.835,74.045,24.73,-25.61,2679.880400000007,3338.4074999999984,10599.217775000003,39046.69297500004,51096.9171,1599.5178999999948,9871,-379,-2670,534,537,55,9639,-700,-3290,-526,-388,-170,4.724409448818898,51.921933176579834,4.724409448818898,102.79505560327804
9802.385,-560.7,-2928.34,238.265,-281.585,13.755,5051.2367749999985,3000.050000000001,36280.144400000005,16157.674775000005,33612.922775,435.5249749999995,9983,-406,-2521,699,43,73,9641,-674,-3312,17,-742,-31,7.874015748031496,38.59154140805079,1.5748031496062993,140.22746627266937
8937.645,-916.63,-4826.27,-66.45,950.255,-124.04,85121.31897499997,27726.52310000001,354428.38709999993,155244.2374999999,697470.4699750001,20200.408399999997,9463,-617,-3671,906,2519,183,8316,-1418,-5795,-977,-681,-396,7.874015748031496,109.5403168633983,1.5748031496062993,683.9964613338669
9988.680412371134,-388.9329896907216,-2280.855670103093,137.67525773195877,-104.10309278350516,10.242268041237113,6089.0009565309765,2858.330561164842,19694.494632798385,22857.7347486449,36927.59761930066,1167.874295886915,10208,-201,-1987,498,324,122,9807,-542,-2724,-203,-553,-61,4.724409448818898,45.13923379325128,1.5748031496062993,154.2557416715342
9464.63,-568.31,-3855.245,29.41,87.89,-9.12,31003.533099999997,9805.823899999996,162259.164975,328568.35190000007,1720986.4879000003,13684.625599999988,10003,-257,-2775,1376,2543,292,8994,-788,-4846,-1111,-3096,-280,6.299212598425197,76.78583884612225,1.5748031496062993,801.6294068811834
9740.2,-497.69,-3136.305,360.595,-297.665,16.795,6874.769999999998,6720.663899999998,29321.951975000004,43191.770975,75810.29277499994,1452.4629749999995,9912,-313,-2726,973,330,109,9532,-698,-3642,-190,-949,-67,6.299212598425197,45.88717651598803,1.5748031496062993,152.6547379108466
9959.25,828.66,-2184.89,-28.025,201.915,25.35,7310.5875,6268.584400000003,20434.767899999995,38933.624374999956,42538.29777499999,9199.737500000012,10108,1047,-1887,668,726,201,9751,619,-2714,-410,-608,-182,7.874015748031496,75.0633154574782,6.299212598425197,135.0958440029273
10023.59,924.74,-1830.87,-70.875,470.535,-256.825,8129.961900000003,36647.93239999999,80338.47309999999,109655.269375,395740.2687750001,96547.52437499992,10249,1552,-1279,705,1867,116,9832,607,-2407,-983,-553,-859,3.1496062992125986,59.16774712667508,1.5748031496062993,614.4521968247243
9562.07,-218.21,-3652.895,-130.215,585.245,-19.93,28037.425100000008,44115.32589999998,170591.02397500002,348358.5187749999,503268.31497499975,14661.805099999996,9890,348,-2807,1589,2117,402,9185,-825,-4355,-1404,-1291,-274,6.299212598425197,158.32950382506576,1.5748031496062993,529.4381427781898
10108.855,713.55,-1536.305,24.175,-22.67,23.315,2950.863974999998,1944.8475000000012,6847.501975,7886.524374999992,54710.421100000014,1256.2857750000044,10310,849,-1293,254,854,140,9983,605,-1725,-172,-376,-43,17.322834645669293,32.77696448831897,3.1496062992125986,48.74936176664379
9657.62,-492.255,-3370.7,95.03,-42.125,0.34,13691.865599999997,4860.589975000003,29997.909999999996,37223.00909999998,109340.659375,1353.0343999999996,9883,-308,-2858,583,757,91,9273,-666,-3698,-349,-651,-91,11.023622047244094,90.73239009673883,4.724409448818898,178.36016838695872
10121.0,1091.09,-1103.45,105.865,-91.725,109.575,3167.17,7467.351899999997,21372.3575,33750.816775,85733.31937500008,3663.9343749999994,10266,1247,-659,510,397,201,9971,907,-1389,-385,-736,-55,1.5748031496062993,33.73278459059814,1.5748031496062993,206.68934089274742
10085.575,999.225,-1418.795,16.825,218.505,-6.225,2116.524374999999,1812.5743749999983,15851.43297500001,13896.564374999993,72197.889975,410.5143750000002,10244,1159,-1103,382,922,48,9976,903,-1738,-306,-449,-49,7.874015748031496,20.325954284986985,1.5748031496062993,208.57890494621972
10210.025,977.835,-229.96,75.485,-57.075,29.01,1883.5343749999995,1748.9577750000012,9589.7084,6273.249775,32062.899375000048,926.449899999999,10357,1088,49,345,281,122,10113,888,-539,-87,-523,-55,6.299212598425197,26.952708055235163,1.5748031496062993,115.05537429919907
10113.425,774.555,-1389.83,83.83,-37.155,-2.335,12700.534375000005,2626.7469750000005,33246.241100000014,7328.801100000007,51043.280975,4457.982775000008,10371,903,-1066,272,385,152,9912,612,-1804,-142,-571,-152,7.874015748031496,83.99550649683535,3.1496062992125986,85.83739236316971
10028.52,-589.685,-2103.555,-9.44,277.685,13.75,2037.2895999999987,917.8457750000007,24448.756974999997,23631.656400000007,176558.14577499992,531.7375,10169,-517,-1728,242,928,85,9930,-674,-2358,-349,-352,-67,12.598425196850394,21.506539204322298,1.5748031496062993,140.02903237745068
9755.65,-200.395,-3089.415,67.06,-10.235,10.025,1228.7574999999995,907.7089750000004,4496.852775000003,2500.2964000000006,12017.059774999996,577.5743750000004,9844,-133,-2900,211,306,79,9661,-291,-3254,-81,-297,-49,12.598425196850394,26.867802148720695,3.1496062992125986,38.504415892011316
9795.265,-304.705,-2954.1,-40.325,524.795,-22.155,9487.36477499999,2399.917975,92422.48999999995,37726.56937500003,165581.33297500006,2849.5909750000005,10078,-169,-2324,309,1190,109,9595,-415,-3447,-648,-431,-121,12.598425196850394,33.12766258340941,1.5748031496062993,418.20393917161
9977.29,-231.04,-2313.325,22.665,124.14,7.71,2929.8358999999978,1245.3884,19268.63937499998,87468.99277499988,307780.28040000005,1049.0559000000017,10105,-106,-1970,479,1409,91,9825,-304,-2651,-843,-675,-67,12.598425196850394,48.75130075192432,1.5748031496062993,493.8562043297203
9841.7,-295.92,-2832.41,-33.78,382.595,-15.54,5568.969999999998,1878.0935999999995,49055.271899999985,20541.401599999997,189265.42097500004,1089.5284,10066,-177,-2311,248,1178,61,9693,-415,-3120,-404,-413,-97,6.299212598425197,21.12906149025311,1.5748031496062993,311.86873175441633
10075.425,395.02,-1798.715,78.09,-109.985,-15.51,6917.264374999995,2923.5996,30828.99377500001,28353.821899999995,177388.45477500002,1758.129899999999,10293,549,-1447,583,543,61,9883,270,-2226,-324,-1346,-140,9.448818897637796,51.83679321104996,3.1496062992125986,339.18171929343407
9312.445,-46.415,-4020.21,545.6,-1296.195,4.3,601346.9569750001,73618.45277500003,1103641.5758999998,2480843.1100000013,7983497.266975,59960.41,11145,417,-2668,4723,4592,737,7300,-903,-6506,-2794,-10285,-493,9.448818897637796,460.43671417200665,1.5748031496062993,2060.5455390595034
9320.305,-209.425,-4194.945,78.615,20.395,26.56,3442.681975000001,3429.484375000004,6629.711975000004,40455.146775,35320.36897499999,1939.866399999999,9495,-67,-4008,632,507,152,9146,-384,-4396,-477,-529,-79,6.299212598425197,62.66381211159085,7.874015748031496,91.14494758798028
9893.575,164.42,-2650.675,16.86,81.38,5.535,4189.744375,3231.4336,10071.809375000006,34687.66040000001,52292.54560000001,2573.1187749999995,10108,309,-2434,632,598,134,9749,19,-2895,-270,-553,-140,17.322834645669293,41.267378666008184,3.1496062992125986,79.09287641237592
9848.76,168.98,-2775.105,191.355,-220.455,-20.705,2932.7724,1207.7795999999998,22116.24397499999,11779.318975,15350.327975000007,734.9779750000005,9966,256,-2455,431,19,36,9734,94,-3044,-56,-504,-103,6.299212598425197,23.996520834301034,1.5748031496062993,152.38512341582228
