accx_mean,accy_mean,accz_mean,gyrx_mean,gyry_mean,gyrz_mean,accx_var,accy_var,accz_var,gyrx_var,gyry_var,gyrz_var,accx_max,accy_max,accz_max,gyrx_max,gyry_max,gyrz_max,accx_min,accy_min,accz_min,gyrx_min,gyry_min,gyrz_min,accn_max_fq,accn_max_peak,gyrn_max_fq,gyrn_max_peak
9948.241666666667,-433.42083333333335,-2423.5891666666666,56.78916666666667,53.0225,6.104166666666667,10530.936597222237,8763.460399305543,87991.17204930553,58712.22304930559,135886.98366041709,3099.8383159722475,10352,-8,-1430,857,1556,359,9622,-710,-3300,-928,-1315,-176,8.211143695014663,27.040523112398986,0.19550342130987292,221.4741444912286
9755.600833333334,-504.895,-3057.72,54.42,66.22833333333334,3.0225,47532.666499305575,15606.898974999975,250635.95159999977,153565.83859999938,507018.0745305547,11454.85699375005,10364,-272,-2075,1607,3165,713,8714,-1096,-5117,-1892,-2663,-548,6.256109481915933,68.25189171444832,0.19550342130987292,546.2410906847155
9639.045833333334,-583.84,-3380.1641666666665,88.22916666666667,-1.96,8.6775,21797.38873263885,10336.376066666699,155491.25054930555,76013.41998263862,297051.18173333333,3441.706827083343,9971,-345,-2541,748,2147,134,9300,-837,-4230,-1044,-949,-286,6.256109481915933,20.123034660370514,0.5865102639296187,264.4961847744454
9597.070833333333,-547.8633333333333,-3467.48,60.535833333333336,-94.32833333333333,-58.95583333333333,136508.66748263882,88955.66632222217,420559.9662666668,828877.6853826395,1141083.1438638885,55478.26388263891,10909,1017,-2321,7406,4665,981,7119,-1633,-5485,-3763,-4541,-1463,7.429130009775171,64.3879652245968,0.5865102639296187,441.45455492492704
9676.6425,-438.8325,-3309.8125,92.015,29.399166666666666,13.9,19109.263027083343,12012.84277708331,123464.53234375,131777.24144166664,160046.04149930528,2578.479999999999,10408,63,-1120,2699,1556,244,9217,-771,-4523,-2007,-2626,-133,7.233626588465298,60.702506679992,0.39100684261974583,194.7861177942368
9634.875,-562.7208333333333,-3400.1225,105.82083333333334,-32.35666666666667,4.926666666666667,21061.254375,10735.519565972236,132559.9041604163,82666.88373263896,195045.99612222204,1566.3262888888833,10025,-255,-2592,778,1287,146,9265,-810,-4174,-1154,-815,-121,11.143695014662756,29.371316470480146,0.5865102639296187,216.13569492377968
9847.518333333333,834.4333333333333,-2604.8025,19.886666666666667,120.64166666666667,5.575,29012.12799722224,20776.020555555522,83877.79182708319,125595.48048888941,208689.87326388876,16579.169374999896,10484,1366,-1716,1284,1196,469,9300,426,-3266,-885,-1218,-377,3.3235581622678394,56.41712544498917,0.7820136852394917,136.7746560576398
9877.41,-37.12833333333333,-2692.5241666666666,49.17333333333333,100.15166666666667,-5.854166666666667,8987.87356666664,3792.5251972222195,88570.21441597232,52165.40995555569,119669.90533055559,1256.299565972203,10108,138,-2172,614,1196,91,9629,-233,-3400,-715,-949,-133,12.121212121212121,22.087809662997106,0.5865102639296187,165.7104238373615
9676.579166666666,-397.76416666666665,-3307.33,59.38,36.81,-44.388333333333335,7136.483732638901,40622.53854930555,38781.34776666666,56250.97226666666,84151.94723333351,23577.00253055557,9993,383,-2734,638,806,152,9466,-718,-3788,-1379,-876,-591,6.842619745845552,15.915634889120252,0.19550342130987292,143.31612447727517
9992.398333333333,740.6591666666667,-2054.943333333333,82.60583333333334,4.6241666666666665,-16.54083333333333,10600.62299722223,9338.644665972231,135963.92178888907,37943.30713263899,160765.41458263906,16306.566665972245,10393,1027,-1054,1126,976,305,9712,185,-2695,-1117,-1443,-597,9.384164222873899,34.4851318884739,0.7820136852394917,186.83180209365474
9853.173333333334,-420.68833333333333,-2769.4608333333335,62.29833333333333,50.62916666666667,-1.55,8526.75162222222,2629.964530555576,86530.74346597226,23679.515997222272,115899.22498263868,2214.695833333336,10108,-257,-2033,601,1214,134,9627,-588,-3447,-635,-620,-133,12.316715542521994,17.601864170005594,0.39100684261974583,109.99698634249403
10101.050833333333,997.815,-1268.0166666666667,19.41583333333333,179.66333333333333,3.7783333333333333,4500.143249305561,1724.3474416666688,235929.72972222205,31058.60291597219,176136.2716555557,1124.1808638888856,10425,1159,119,437,2403,177,9951,868,-1850,-965,-553,-97,14.858260019550341,11.04798762413437,0.39100684261974583,197.6492240637523
10166.4,917.0658333333333,-800.88,59.745,12.994166666666667,14.168333333333333,3349.138333333313,5245.778165972228,188015.59060000008,25517.109974999963,190483.022465973,1857.6716638888818,10425,1120,119,486,2403,177,9951,739,-1454,-965,-858,-115,6.0606060606060606,16.128072094087873,0.39100684261974583,212.198416657875
