accx_mean,accy_mean,accz_mean,gyrx_mean,gyry_mean,gyrz_mean,accx_var,accy_var,accz_var,gyrx_var,gyry_var,gyrz_var,accx_max,accy_max,accz_max,gyrx_max,gyry_max,gyrz_max,accx_min,accy_min,accz_min,gyrx_min,gyry_min,gyrz_min,accn_max_fq,accn_max_peak,gyrn_max_fq,gyrn_max_peak
6232.68,1837.27,-7774.87,115.72,331.025,-88.8,78003.9776,5343.887100000004,105166.14309999994,21889.811600000012,1175845.5943750013,37818.21000000002,6576,2096,-7219,462,3622,431,4970,1579,-8840,-433,-1926,-659,7.874015748031496,163.7313391316853,1.5748031496062993,632.5081273927287
6145.915,1709.62,-7868.875,21.975,86.395,3.945,7770.867775000001,3388.6655999999994,25047.849375,5693.934375000006,307972.4889749998,5486.2319750000015,6454,1828,-7509,261,1141,181,5887,1525,-8310,-159,-1791,-281,11.023622047244094,99.42823138673248,6.299212598425197,262.6498208875406
5518.52,1592.645,-8347.135,-11.425,311.345,2.02,31042.009600000005,3432.4189749999987,22361.956775000002,8211.914375,223100.645975,9969.789599999995,6139,1784,-7895,273,1763,255,5138,1464,-8679,-208,-517,-269,7.874015748031496,91.34436670033642,12.598425196850394,138.03620766229807
5902.985,1628.63,-8065.17,-16.125,-139.72,16.83,47005.84477500003,3086.9231000000013,46280.4411,9533.479375,481670.9116,13923.251099999996,6403,1767,-7531,242,1555,340,5304,1476,-8664,-226,-2267,-275,7.874015748031496,100.1804476439307,1.5748031496062993,434.23816914342655
5794.515,1577.91,-8159.55,19.81,265.455,-31.37,147271.90977500004,10067.421900000003,84156.64750000002,27194.263900000005,775885.3479749996,32866.53310000001,6681,1913,-7375,425,2080,529,5040,1371,-8618,-379,-1749,-574,3.1496062992125986,168.95664031441643,11.023622047244094,277.3650178664871
4662.455,1445.76,-8857.375,-28.635,121.41,-42.815,66677.207975,13806.74239999999,48279.314375,27355.221774999987,839618.2418999996,33740.79077499998,5157,1789,-8300,383,2025,523,4110,1171,-9314,-421,-1858,-458,9.448818897637796,236.85257731879642,11.023622047244094,188.98209561898017
5845.17,1430.46,-8148.97,21.19,-149.695,-41.87,75660.4111,4889.408399999998,82386.5091,7369.893900000004,660962.1619750002,13441.623099999999,6415,1593,-7492,212,1939,187,5289,1230,-8974,-220,-2127,-348,7.874015748031496,81.02681507148246,1.5748031496062993,223.61795956636544
4960.33,1490.605,-8700.605,28.805,-103.725,-34.815,41623.661100000005,4702.088975000001,43650.69897499997,8186.306974999997,365025.08937499975,15858.770774999994,5463,1654,-8152,255,793,358,4349,1283,-9165,-238,-2133,-360,6.299212598425197,119.45953229711886,3.1496062992125986,303.30426641532125
5076.635,1528.695,-8654.75,16.945,-140.355,12.28,149852.65177499998,9536.621975000002,84715.3275,18420.851975000005,1291349.3189749995,33840.8416,6444,1869,-7761,291,3452,578,4474,1325,-9402,-415,-4352,-348,7.874015748031496,319.04650825373926,1.5748031496062993,703.4327461837456
5388.365,1389.625,-8463.98,20.9,468.41,-19.095,51255.211775,1667.844375,38354.81960000002,6116.440000000003,315981.66190000006,8285.135975000005,5934,1501,-7876,218,1860,194,4996,1278,-8881,-171,-596,-244,7.874015748031496,97.95134568258953,1.5748031496062993,349.05509718498047
