accx_mean,accy_mean,accz_mean,gyrx_mean,gyry_mean,gyrz_mean,accx_var,accy_var,accz_var,gyrx_var,gyry_var,gyrz_var,accx_max,accy_max,accz_max,gyrx_max,gyry_max,gyrz_max,accx_min,accy_min,accz_min,gyrx_min,gyry_min,gyrz_min,accn_max_fq,accn_max_peak,gyrn_max_fq,gyrn_max_peak
10148.63,-764.045,634.755,87.135,-23.5,-110.99,21834.69310000001,6601.772975000004,59508.084975,25862.066775000007,400018.73,8469.2199,10535,-521,1206,766,1397,198,9712,-1036,55,-337,-1767,-442,14.173228346456694,135.5936049925064,1.5748031496062993,457.17175240921927
10162.985,-709.74,507.94,92.53,126.635,-127.795,18577.834774999996,15136.442399999998,61219.8964,32743.869100000007,296222.241775,15198.362975000005,10452,-364,1230,687,1397,277,9819,-1041,-216,-251,-1304,-509,9.448818897637796,75.99126093442361,1.5748031496062993,199.84648210004644
10126.735,-816.725,1088.175,32.24,93.725,-120.31,12823.67477499999,5638.049375000002,41752.214375,31928.652400000024,214087.99937499996,11384.493900000009,10425,-516,1553,827,1488,173,9832,-1024,422,-343,-944,-545,14.173228346456694,59.07043039368896,3.1496062992125986,128.30959162531732
10145.055,-740.64,1005.575,48.525,95.42,-123.835,9862.961975000013,4846.6604,39742.11437500003,11487.109375000015,194002.69360000006,7418.197775,10457,-543,1497,382,1287,100,9839,-1017,352,-300,-956,-521,14.173228346456694,66.20728753886256,3.1496062992125986,147.924149652557
10075.17,-1122.225,1004.225,61.97,-91.415,-197.595,58473.8711,51254.99437499998,242184.2743749998,265394.2091,1079179.8827749998,90546.190975,10632,-450,2158,1370,2823,685,9453,-1708,-143,-1379,-2609,-679,4.724409448818898,141.7658041429414,4.724409448818898,399.66071153578713
10137.605,-904.04,928.61,79.995,6.915,-99.315,28286.46897500001,5332.228400000004,150135.8279,45272.98497500001,354572.4177750002,6008.835775000001,10603,-714,1833,431,1677,143,9797,-1127,-50,-593,-1371,-411,4.724409448818898,168.86289570854538,11.023622047244094,225.59578014803822
10137.505,-570.355,974.545,-137.05,-42.125,-56.65,46275.43997500001,32921.34897499999,137716.65797499998,157884.32749999993,748666.759375,51259.01750000004,10762,-176,1802,1101,2378,356,9626,-1217,-172,-1044,-1834,-582,12.598425196850394,162.15231862711653,18.897637795275593,176.40233466928
10105.455,-966.63,1092.6,119.26,33.97,-105.86,21296.987975000007,9183.183100000002,93581.85000000005,50950.47240000004,319505.78910000017,18043.510400000006,10478,-685,1741,796,1427,198,9675,-1141,247,-611,-1090,-545,6.299212598425197,113.74155892293997,1.5748031496062993,242.621862213101
10080.4,-1120.29,1283.32,37.34,-50.64,-50.625,13829.050000000003,12646.725899999996,55548.8376,65370.83439999999,279714.6904,13362.534375,10420,-839,1782,620,1281,179,9719,-1346,710,-599,-1334,-405,14.173228346456694,100.00876967113938,1.5748031496062993,234.34995991840566
10066.19,-876.06,1502.27,40.205,-20.18,-87.46,36187.5939,25205.56639999999,221795.99709999986,116085.80297499988,519494.7775999997,39328.76839999997,10701,-546,2854,1181,1634,295,9531,-1305,632,-642,-1255,-692,6.299212598425197,127.20228871894848,1.5748031496062993,342.9561615170124
