accx_mean,accy_mean,accz_mean,gyrx_mean,gyry_mean,gyrz_mean,accx_var,accy_var,accz_var,gyrx_var,gyry_var,gyrz_var,accx_max,accy_max,accz_max,gyrx_max,gyry_max,gyrz_max,accx_min,accy_min,accz_min,gyrx_min,gyry_min,gyrz_min,accn_max_fq,accn_max_peak,gyrn_max_fq,gyrn_max_peak
10163.355,385.75,1391.955,-71.03,228.28,6.12,20381.598974999986,10192.2075,63755.35297500004,96825.63910000001,218768.21160000007,3436.135599999994,10757,750,2267,1267,1896,205,9577,47,332,-1347,-670,-233,18.897637795275593,94.79961737727092,1.5748031496062993,488.2185312638396
10124.14,407.625,1908.23,-108.5,329.8,0.415,12034.050400000006,7874.314375,62106.10709999998,79715.01,190766.63000000015,2050.562775,10630,699,2746,926,2036,150,9653,91,1188,-1024,-432,-160,4.724409448818898,34.610099162473354,1.5748031496062993,302.22725086378847
10164.16,416.305,1320.725,-102.365,41.285,5.185,11654.674400000004,13086.151975,66660.839375,146490.03177500019,60058.31377500003,2026.8307749999994,10461,779,2082,1024,664,162,9853,76,541,-1091,-554,-111,9.448818897637796,84.4539078798828,6.299212598425197,146.5023235343611
10151.885,476.555,1223.005,-141.19,-122.45,-63.63,25814.801774999996,22937.716975000007,58714.17497500002,268046.6739000001,86953.57749999991,11883.553100000003,10515,875,1776,1688,512,229,9590,86,661,-1347,-1121,-306,4.724409448818898,90.00072992056555,23.62204724409449,196.35691768109635
10142.52,655.255,1434.36,-148.63,422.26,-56.08,7211.199600000002,26404.229974999995,47552.760399999985,78303.6931,61823.832400000014,21496.103600000013,10390,997,1889,572,1171,150,9890,186,1010,-945,36,-379,4.724409448818898,74.05732047496592,4.724409448818898,186.2027837387274
10081.9,457.265,2126.975,70.48,-426.445,35.175,35691.36999999998,38077.304775,336093.0143750001,1096027.3895999999,2265567.626975,8363.364374999994,10478,1377,3354,4908,1207,321,9409,-379,-1013,-4488,-5993,-203,4.724409448818898,110.31456697402042,4.724409448818898,175.77412136007607
10092.155,636.43,2050.51,-62.14,-137.98,-19.585,11925.630975000004,15335.115100000012,48052.489899999964,108738.87039999996,50879.30959999999,5999.422775,10412,965,2560,731,640,132,9729,306,1396,-1116,-621,-233,9.448818897637796,55.77164382079203,3.1496062992125986,172.71002034162126
10101.825,704.37,1881.34,-75.975,76.0,-15.19,10039.164374999991,13320.913100000005,48608.17439999999,89660.83437500005,159568.17,7773.803899999998,10439,1063,2453,774,1195,199,9870,374,1144,-878,-597,-190,9.448818897637796,82.15084298647193,3.1496062992125986,269.4583897198644
10127.03,744.155,1571.23,-82.22,291.42,-2.65,4134.039100000001,6225.280974999999,30906.41709999999,43513.46160000003,18091.853599999995,1675.3975,10385,926,1994,487,750,95,9939,459,910,-799,-54,-129,4.724409448818898,40.51411774859098,3.1496062992125986,82.20325282935792
10157.24,768.625,493.53,-132.135,175.18,63.25,27863.502400000016,35623.084375,97686.0991000001,650359.7567750004,571170.9376000003,14058.6675,10578,1529,1454,3524,1713,302,9655,98,-710,-3408,-2847,-386,6.299212598425197,166.79195035551038,4.724409448818898,647.5824684065415
