accx_mean,accy_mean,accz_mean,gyrx_mean,gyry_mean,gyrz_mean,accx_var,accy_var,accz_var,gyrx_var,gyry_var,gyrz_var,accx_max,accy_max,accz_max,gyrx_max,gyry_max,gyrz_max,accx_min,accy_min,accz_min,gyrx_min,gyry_min,gyrz_min,accn_max_fq,accn_max_peak,gyrn_max_fq,gyrn_max_peak
10122.3775,378.49,1828.5841666666668,-76.225,190.53833333333333,-4.1175,34334.87832708333,21592.359900000003,186776.687915972,172015.7760416672,401140.9351972222,9407.580360416681,11084,940,3217,1688,3073,351,9279,-266,446,-1884,-1914,-483,18.377321603128053,47.234109279601206,3.1280547409579667,270.248533174965
10111.271666666667,390.8566666666667,1949.0941666666668,-62.6775,53.62833333333333,5.46,12595.324530555528,7872.8961222222215,154699.89863263897,65011.396827083365,121038.82686388907,1960.8417333333143,10700,792,2885,950,1805,168,9616,40,771,-1024,-822,-190,0.19550342130987292,37.364691227965686,1.1730205278592374,137.95586776652982
10086.0275,388.00333333333333,2122.215,-61.18416666666667,216.43083333333334,11.804166666666667,31986.285077083336,21008.796655555554,264177.29377499945,139887.09524930562,477945.5318826391,6373.524149305556,10634,1136,3996,1286,2140,333,8889,-658,624,-1585,-2237,-300,0.39100684261974583,40.43675432004971,0.7820136852394917,279.16346631387603
10131.6,615.7116666666667,1605.5383333333334,-61.62,59.98916666666667,-4.258333333333334,7410.783333333324,19259.181863888894,85913.39853055545,81132.84059999992,107984.81738263891,16685.85159722221,10451,1077,2316,1084,1262,382,9817,-56,675,-1457,-975,-465,5.865102639296188,27.288396486808843,0.5865102639296187,116.82605792378286
10129.561666666666,564.3408333333333,1690.8758333333333,-45.58083333333333,81.89083333333333,8.24,11567.551197222238,7855.377999305551,89489.96708263886,71537.05346597219,182773.5989159719,3068.959066666677,10564,892,2592,767,2207,168,9729,257,797,-1018,-1133,-184,4.887585532746823,45.291132400124134,0.19550342130987292,161.08239955390303
10098.029166666667,489.8641666666667,2030.7816666666668,-49.240833333333335,113.5875,-2.6533333333333333,19092.27664930556,8894.489049305554,138795.82399722197,90977.83949930547,304348.5106770853,2760.1848222222234,10634,784,3632,969,2616,187,9458,140,1144,-1097,-1792,-264,0.19550342130987292,30.49851703704404,0.19550342130987292,247.80110606339397
10115.258333333333,712.2691666666667,1778.15,-63.674166666666665,63.538333333333334,6.0225,7434.64493055554,12592.511715972214,46133.01083333306,75550.97799930573,63442.791863888924,6753.206993749987,10432,1214,2382,1072,951,284,9714,367,1127,-872,-493,-239,6.647116324535679,39.436380533084375,0.5865102639296187,94.65841164641877
10112.664166666667,750.2483333333333,1741.0708333333334,-42.325833333333335,67.04083333333334,4.364166666666667,8907.716382638873,14944.308330555557,47755.897482638866,88735.5129993055,82647.05916597221,6881.189882638876,10578,1334,2594,1017,1103,309,9716,274,612,-1622,-847,-233,7.038123167155425,26.858319955164543,0.5865102639296187,122.5234471733883
10134.695833333333,598.4916666666667,1540.5533333333333,-87.39666666666666,52.016666666666666,9.9025,14413.808315972205,15391.334930555593,113258.70048888872,160957.2959888892,225975.49305555553,10366.497993749957,10659,1067,2477,1597,2146,388,9253,30,517,-1488,-1011,-331,4.105571847507331,32.48621174929975,0.39100684261974583,189.6482656523018
10134.038333333334,734.1041666666666,1348.6266666666668,-67.33583333333333,83.35416666666667,18.143333333333334,9112.318530555536,8275.324982638884,99831.787288889,73981.1213826387,119831.23039930627,4337.257788888895,10632,1053,2228,889,2024,290,9626,433,356,-1116,-786,-166,0.19550342130987292,27.84017672436394,0.19550342130987292,190.41173266889896
10143.265833333333,753.465,1201.9375,-86.6325,144.15666666666667,3.1166666666666667,5409.160165972229,9374.01044166667,41422.546927083335,81182.33911041668,85952.99378888893,5164.993055555554,10464,1165,1957,731,982,229,9904,420,363,-1396,-560,-245,6.256109481915933,24.710839350896997,0.39100684261974583,118.2666458553379
10132.625,677.0625,1532.04,-53.30583333333333,137.42416666666668,9.705,10577.027708333333,5103.755260416667,77386.76006666681,45531.57229930554,145039.48924930565,2509.2396416666497,10576,960,2270,633,1299,229,9675,398,458,-744,-1231,-233,3.9100684261974585,48.71685941509155,0.19550342130987292,228.41213577592004
10145.899166666666,692.3583333333333,1248.5408333333332,-69.0375,83.7125,4.821666666666666,3185.0873326388896,5142.893263888885,22448.493332638893,42589.04109374988,21890.658177083427,1609.1248638888867,10398,906,1842,719,792,181,9944,420,710,-902,-371,-172,7.429130009775171,17.54249378217323,2.541544477028348,84.57937819122554
10129.083333333334,681.9491666666667,1587.55,-60.035833333333336,83.71333333333334,8.953333333333333,3558.62472222222,4785.9565826388925,57600.69083333356,37012.08121597212,108442.55448888865,3088.2944888888956,10403,950,2392,725,1079,302,9861,396,805,-750,-700,-154,6.0606060606060606,16.712000352481596,0.39100684261974583,147.3842265448537
10058.440833333334,217.615,2423.451666666667,-78.1375,199.17166666666665,15.595833333333333,11092.763165972217,7444.963441666664,198935.50933055556,37181.84859374999,283928.4771972222,4405.09081597222,10344,628,4084,725,2183,424,9507,-153,1447,-646,-957,-276,0.19550342130987292,32.13226822771314,0.39100684261974583,169.5407895723431
9929.9125,-207.4525,3140.4816666666666,-59.80916666666667,98.23833333333333,-0.7,4948.23484375,3127.3277437500014,29548.507997222227,26913.576082638923,52876.65819722225,1871.59666666666,10202,8,3698,469,945,187,9692,-467,2465,-622,-511,-148,4.6920821114369495,17.349598231461503,0.7820136852394917,58.70096858971537
9858.0,88.42916666666666,3351.494166666667,-48.538333333333334,103.7725,13.530833333333334,46068.83666666667,12428.996649305582,396388.3266326391,76883.58353055542,633112.0340770815,16522.58904930544,10300,384,5165,767,2646,626,9126,-487,2209,-1476,-2188,-373,0.19550342130987292,58.52544458621339,0.19550342130987292,565.1737389275103
10091.880833333333,167.19083333333333,2147.495,-60.25833333333333,26.839166666666667,-14.2,18643.87829930558,17943.60774930555,249190.18497500007,411550.8965972217,273604.2366326388,14323.779999999879,10603,601,3490,5261,1908,327,9631,-343,1112,-1744,-1572,-440,2.3460410557184748,53.67847332095987,1.3685239491691104,276.563279891732
10014.895,279.36,2678.0041666666666,-60.4625,88.37333333333333,-0.3858333333333333,5177.762308333333,2546.928733333334,51611.35748263902,21998.47359375012,100053.76062222231,805.4819659722292,10288,469,3251,499,1189,107,9763,59,1891,-494,-792,-117,0.39100684261974583,15.60998197345438,0.5865102639296187,150.02597729521895
10034.109166666667,470.77,2496.2975,-53.59,44.8975,8.015833333333333,5866.237249305565,4240.340433333332,60574.772327083265,33266.340233333365,129985.44366041655,3452.2939159722296,10363,735,3134,664,1390,187,9748,254,1862,-872,-749,-258,7.624633431085043,24.692940588996436,0.39100684261974583,135.09847718100187
10047.858333333334,509.63166666666666,2321.9283333333333,-23.664166666666667,55.27583333333333,1.1408333333333334,36497.10493055561,32850.09766388883,369776.6698638891,396931.2963826391,929931.1147493054,16211.389332638837,10966,1194,3485,3798,2866,559,9157,-212,-940,-4250,-6261,-379,2.150537634408602,73.88669005029789,0.39100684261974583,524.1355717652831
10096.114166666666,547.9966666666667,2018.9566666666667,-68.55416666666666,54.83416666666667,-3.1533333333333333,13254.544465972222,13907.714988888862,79979.51312222223,79432.97706597213,149640.51666597233,4334.9914888889,10742,970,3000,889,1573,315,9641,-26,1227,-1226,-1048,-245,4.6920821114369495,33.69118695317841,0.39100684261974583,199.58799942313607
10082.56,572.3175,2091.3258333333333,-62.208333333333336,48.80083333333334,9.2125,5216.89306666666,11367.811693749967,53166.657999305586,51934.501597222516,110707.29616597203,11177.914010416704,10322,1004,2887,1060,1292,437,9787,240,1493,-786,-804,-270,6.647116324535679,22.810161842416132,0.39100684261974583,121.90527221350109
10099.379166666668,617.0233333333333,1909.4208333333333,-50.66916666666667,88.37333333333333,-6.911666666666667,60861.96373263877,45802.16445555546,118437.15206597201,217340.97138263896,368443.49062222306,21140.31719722223,11779,1565,2826,2072,2268,522,8737,-514,1007,-1976,-2469,-501,5.278592375366569,118.48487606163224,0.39100684261974583,337.39052839257164
10064.4275,418.98083333333335,2292.8933333333334,-36.869166666666665,5.743333333333333,13.840833333333334,11295.71141041667,15406.237132638922,130622.55028888906,105480.15871597221,156337.8457888891,7874.01216597221,10490,1102,3312,895,1366,357,9338,-173,1488,-1658,-1188,-343,10.166177908113392,28.004943006059925,0.39100684261974583,248.44656497068027
10064.9575,466.4091666666667,2265.685,-61.23166666666667,82.24583333333334,13.286666666666667,28282.389027083398,8942.09341597223,180062.75910833356,80707.61133055553,290173.1787326391,6584.392822222209,11023,821,4433,1042,1555,296,9411,132,1371,-762,-2341,-221,3.3235581622678394,88.48136951982156,0.5865102639296187,187.37820495305985
10075.270833333334,510.4575,2121.8841666666667,-67.64166666666667,257.56,-9.795833333333333,10423.202482638917,13474.298193749988,214642.24741597244,96608.04993055547,313252.19973333227,7255.644149305541,10476,1028,3075,1292,1951,266,9695,-39,363,-1433,-719,-392,0.19550342130987292,43.80228452455593,0.19550342130987292,380.37115376239115
10080.205,463.7425,2132.6008333333334,-65.79083333333334,96.79666666666667,13.1375,10350.566308333335,12400.017860416661,145007.67483263905,70426.95708263881,276190.03532222233,6929.805260416689,10556,770,2997,1017,2134,296,9729,-148,1039,-1238,-1018,-355,0.19550342130987292,34.52282242172355,0.7820136852394917,265.47063593350396
10103.991666666667,518.155,1965.2558333333334,-53.6325,35.40416666666667,8.420833333333333,4536.614930555564,3171.4376416666623,54586.38204930559,26697.777443749863,90654.30748263886,1459.4837326388872,10383,699,2668,584,1305,120,9821,298,1283,-713,-591,-148,5.083088954056696,15.991745372690882,0.5865102639296187,107.61423252515787
9900.6275,580.7541666666667,3154.775,-41.03333333333333,60.405833333333334,-2.7266666666666666,23872.41541041667,16582.705399305534,154186.85437500014,85230.19388888887,184572.25279930566,6665.673622222202,10505,1080,4096,2322,1677,394,9289,-175,2123,-969,-1316,-343,4.6920821114369495,39.56421627633176,0.39100684261974583,198.2038411255783
10070.73,574.6366666666667,2111.5066666666667,-78.95166666666667,41.5775,29.449166666666667,28211.37710000002,25243.846322222213,356915.1582888885,142106.11433055587,396465.89899375045,15046.5774159722,11115,1067,4718,2475,1884,571,9099,-100,322,-1091,-3377,-361,4.6920821114369495,67.31619265278094,0.39100684261974583,316.14253106503287
10062.0975,474.28,2296.7141666666666,-74.5425,172.89166666666668,25.3825,17209.774660416664,12050.454933333336,152263.802465972,83189.17819375002,383304.44659722166,6046.881193750001,11013,948,3266,1347,1512,376,9550,-112,1444,-1091,-3054,-136,0.39100684261974583,27.918947308440238,0.5865102639296187,265.52587692514226
10052.075833333334,599.0191666666667,2358.81,-77.5425,63.31666666666667,8.055833333333334,7955.166749305555,14493.15046597219,44780.837233333266,63543.789860416735,99244.3780555556,13971.041049305595,10417,1072,2965,1036,957,345,9780,167,1740,-1158,-889,-489,6.0606060606060606,25.92614116959938,0.39100684261974583,190.2598783946957
10051.360833333334,585.715,2304.0125,-30.559166666666666,58.8475,0.975,29697.243965972164,23603.84710833334,306159.3790104158,356383.9231659722,1067635.2742437483,7232.652708333321,11052,1500,4643,5475,6799,491,9394,-780,-2227,-4183,-3396,-331,6.842619745845552,47.6502560386758,0.39100684261974583,596.7532370690542
9948.048333333334,642.035,2900.7508333333335,-50.26583333333333,71.64833333333333,-6.280833333333334,14209.630997222199,7342.810441666672,133804.80208263898,54814.14183263886,208292.77466388742,2588.7869659722205,10244,1009,3856,956,2024,168,9453,401,2086,-762,-1548,-251,4.6920821114369495,31.967763966551594,0.7820136852394917,194.45534236545845
9971.615,328.0933333333333,2803.9216666666666,-53.2925,-51.69416666666667,12.608333333333333,72815.94844166642,35597.39128888894,276891.0338638894,236267.0086104165,566895.1489659725,58914.324930555435,11159,1651,5299,3566,1792,1205,8318,-665,1640,-4158,-3542,-1672,4.496578690127077,82.13706873814648,0.39100684261974583,526.2629110826608
9677.82,223.77,4039.3533333333335,-45.924166666666665,45.27916666666667,5.945833333333334,11050.649266666658,3710.4837666666654,44198.89515555557,33295.520082638905,80773.26123263882,2141.2245659722216,10246,496,5246,645,1646,211,9192,-48,3410,-1140,-1377,-276,4.105571847507331,42.59701077622772,1.1730205278592374,127.37613170307685
9899.301666666666,509.2941666666667,3106.0016666666666,-89.07833333333333,264.5158333333333,16.3825,28765.095663888907,18851.399299305544,471227.0899972231,108032.67719722209,514091.39808263886,12510.889527083322,10495,975,4716,889,2353,406,9194,-21,397,-2024,-1432,-355,0.19550342130987292,51.84799651977114,0.39100684261974583,396.14318201163627
