uts,value,time
1605098400,78,2020/11/11 12:40
1605098401,77,2020/11/11 12:40
1605098402,78,2020/11/11 12:40
1605098405,79,2020/11/11 12:40
1605098408,79,2020/11/11 12:40
1605098410,80,2020/11/11 12:40
1605098413,80,2020/11/11 12:40
1605098414,79,2020/11/11 12:40
1605098417,79,2020/11/11 12:40
1605098420,79,2020/11/11 12:40
1605098421,80,2020/11/11 12:40
1605098424,80,2020/11/11 12:40
1605098427,80,2020/11/11 12:40
1605098429,81,2020/11/11 12:40
1605098431,90,2020/11/11 12:40
1605098432,94,2020/11/11 12:40
1605098433,95,2020/11/11 12:40
1605098435,96,2020/11/11 12:40
1605098438,96,2020/11/11 12:40
1605098440,97,2020/11/11 12:40
1605098441,97,2020/11/11 12:40
1605098443,97,2020/11/11 12:40
1605098445,96,2020/11/11 12:40
1605098446,92,2020/11/11 12:40
1605098447,89,2020/11/11 12:40
1605098448,88,2020/11/11 12:40
1605098449,86,2020/11/11 12:40
1605098450,85,2020/11/11 12:40
1605098451,84,2020/11/11 12:40
1605098452,83,2020/11/11 12:40
1605098454,82,2020/11/11 12:40
1605098455,83,2020/11/11 12:40
1605098458,83,2020/11/11 12:40
1605098460,82,2020/11/11 12:41
1605098461,81,2020/11/11 12:41
1605098462,80,2020/11/11 12:41
1605098463,79,2020/11/11 12:41
1605098464,78,2020/11/11 12:41
1605098466,77,2020/11/11 12:41
1605098468,76,2020/11/11 12:41
1605098470,75,2020/11/11 12:41
1605098473,75,2020/11/11 12:41
1605098475,76,2020/11/11 12:41
1605098477,77,2020/11/11 12:41
1605098480,78,2020/11/11 12:41
1605098483,78,2020/11/11 12:41
1605098486,79,2020/11/11 12:41
1605098487,79,2020/11/11 12:41
1605098490,79,2020/11/11 12:41
1605098493,79,2020/11/11 12:41
1605098495,79,2020/11/11 12:41
1605098498,79,2020/11/11 12:41
1605098501,79,2020/11/11 12:41
1605098502,80,2020/11/11 12:41
1605098505,80,2020/11/11 12:41
1605098508,80,2020/11/11 12:41
1605098511,80,2020/11/11 12:41
1605098513,80,2020/11/11 12:41
1605098514,80,2020/11/11 12:41
1605098517,80,2020/11/11 12:41
1605098520,81,2020/11/11 12:42
1605098523,81,2020/11/11 12:42
1605098525,80,2020/11/11 12:42
1605098528,80,2020/11/11 12:42
1605098531,80,2020/11/11 12:42
1605098532,79,2020/11/11 12:42
1605098535,79,2020/11/11 12:42
1605098538,79,2020/11/11 12:42
1605098541,79,2020/11/11 12:42
1605098544,78,2020/11/11 12:42
1605098545,77,2020/11/11 12:42
1605098546,77,2020/11/11 12:42
1605098548,76,2020/11/11 12:42
1605098551,76,2020/11/11 12:42
1605098552,76,2020/11/11 12:42
1605098553,76,2020/11/11 12:42
1605098555,76,2020/11/11 12:42
1605098558,76,2020/11/11 12:42
1605098560,76,2020/11/11 12:42
1605098561,76,2020/11/11 12:42
1605098564,76,2020/11/11 12:42
1605098567,76,2020/11/11 12:42
1605098570,76,2020/11/11 12:42
1605098573,76,2020/11/11 12:42
1605098576,76,2020/11/11 12:42
1605098578,77,2020/11/11 12:42
1605098581,77,2020/11/11 12:43
1605098584,77,2020/11/11 12:43
1605098587,77,2020/11/11 12:43
1605098589,78,2020/11/11 12:43
1605098592,78,2020/11/11 12:43
1605098593,79,2020/11/11 12:43
1605098595,79,2020/11/11 12:43
1605098598,78,2020/11/11 12:43
1605098599,77,2020/11/11 12:43
1605098600,76,2020/11/11 12:43
1605098603,76,2020/11/11 12:43
1605098606,77,2020/11/11 12:43
1605098609,77,2020/11/11 12:43
1605098612,77,2020/11/11 12:43
1605098615,77,2020/11/11 12:43
1605098616,77,2020/11/11 12:43
1605098619,77,2020/11/11 12:43
1605098620,78,2020/11/11 12:43
1605098623,78,2020/11/11 12:43
1605098626,78,2020/11/11 12:43
1605098629,78,2020/11/11 12:43
1605098632,78,2020/11/11 12:43
1605098635,78,2020/11/11 12:43
1605098636,79,2020/11/11 12:43
1605098637,78,2020/11/11 12:43
1605098638,78,2020/11/11 12:43
1605098641,78,2020/11/11 12:44
1605098644,78,2020/11/11 12:44
1605098647,78,2020/11/11 12:44
1605098650,79,2020/11/11 12:44
1605098653,79,2020/11/11 12:44
1605098656,79,2020/11/11 12:44
1605098658,80,2020/11/11 12:44
1605098661,81,2020/11/11 12:44
1605098662,80,2020/11/11 12:44
1605098665,80,2020/11/11 12:44
1605098667,81,2020/11/11 12:44
1605098669,80,2020/11/11 12:44
1605098672,80,2020/11/11 12:44
1605098673,80,2020/11/11 12:44
1605098676,80,2020/11/11 12:44
1605098679,80,2020/11/11 12:44
1605098680,80,2020/11/11 12:44
1605098683,80,2020/11/11 12:44
1605098684,78,2020/11/11 12:44
1605098685,77,2020/11/11 12:44
1605098687,76,2020/11/11 12:44
1605098690,76,2020/11/11 12:44
1605098691,76,2020/11/11 12:44
1605098694,76,2020/11/11 12:44
1605098697,76,2020/11/11 12:44
