uts,value,time
1605098400,89,2020/11/11 12:40
1605098402,88,2020/11/11 12:40
1605098405,89,2020/11/11 12:40
1605098406,89,2020/11/11 12:40
1605098407,89,2020/11/11 12:40
1605098409,89,2020/11/11 12:40
1605098410,89,2020/11/11 12:40
1605098411,90,2020/11/11 12:40
1605098413,89,2020/11/11 12:40
1605098416,88,2020/11/11 12:40
1605098417,88,2020/11/11 12:40
1605098420,88,2020/11/11 12:40
1605098421,88,2020/11/11 12:40
1605098422,87,2020/11/11 12:40
1605098425,87,2020/11/11 12:40
1605098426,86,2020/11/11 12:40
1605098427,86,2020/11/11 12:40
1605098430,86,2020/11/11 12:40
1605098433,86,2020/11/11 12:40
1605098434,87,2020/11/11 12:40
1605098437,85,2020/11/11 12:40
1605098438,83,2020/11/11 12:40
1605098439,85,2020/11/11 12:40
1605098440,84,2020/11/11 12:40
1605098441,84,2020/11/11 12:40
1605098444,85,2020/11/11 12:40
1605098447,84,2020/11/11 12:40
1605098450,84,2020/11/11 12:40
1605098453,83,2020/11/11 12:40
1605098456,82,2020/11/11 12:40
1605098458,83,2020/11/11 12:40
1605098460,84,2020/11/11 12:41
1605098461,86,2020/11/11 12:41
1605098462,87,2020/11/11 12:41
1605098463,88,2020/11/11 12:41
1605098464,89,2020/11/11 12:41
1605098467,89,2020/11/11 12:41
1605098470,89,2020/11/11 12:41
1605098473,88,2020/11/11 12:41
1605098474,87,2020/11/11 12:41
1605098475,86,2020/11/11 12:41
1605098478,86,2020/11/11 12:41
1605098481,86,2020/11/11 12:41
1605098483,85,2020/11/11 12:41
1605098484,84,2020/11/11 12:41
1605098485,83,2020/11/11 12:41
1605098486,83,2020/11/11 12:41
1605098489,83,2020/11/11 12:41
1605098490,84,2020/11/11 12:41
1605098491,84,2020/11/11 12:41
1605098494,84,2020/11/11 12:41
1605098497,85,2020/11/11 12:41
1605098500,85,2020/11/11 12:41
1605098502,86,2020/11/11 12:41
1605098505,86,2020/11/11 12:41
1605098508,86,2020/11/11 12:41
1605098511,86,2020/11/11 12:41
1605098512,87,2020/11/11 12:41
1605098515,87,2020/11/11 12:41
1605098518,87,2020/11/11 12:41
1605098521,87,2020/11/11 12:42
1605098522,87,2020/11/11 12:42
1605098525,87,2020/11/11 12:42
1605098527,88,2020/11/11 12:42
1605098530,88,2020/11/11 12:42
1605098533,89,2020/11/11 12:42
1605098536,90,2020/11/11 12:42
1605098539,90,2020/11/11 12:42
1605098542,90,2020/11/11 12:42
1605098545,90,2020/11/11 12:42
1605098547,89,2020/11/11 12:42
1605098550,89,2020/11/11 12:42
1605098551,88,2020/11/11 12:42
1605098552,83,2020/11/11 12:42
1605098553,81,2020/11/11 12:42
1605098554,80,2020/11/11 12:42
1605098557,80,2020/11/11 12:42
1605098560,80,2020/11/11 12:42
1605098561,79,2020/11/11 12:42
1605098562,79,2020/11/11 12:42
1605098563,79,2020/11/11 12:42
1605098564,79,2020/11/11 12:42
1605098565,79,2020/11/11 12:42
1605098566,80,2020/11/11 12:42
1605098568,81,2020/11/11 12:42
1605098571,81,2020/11/11 12:42
1605098574,81,2020/11/11 12:42
1605098577,81,2020/11/11 12:42
1605098578,81,2020/11/11 12:42
1605098581,81,2020/11/11 12:43
1605098582,82,2020/11/11 12:43
1605098583,83,2020/11/11 12:43
1605098585,84,2020/11/11 12:43
1605098587,85,2020/11/11 12:43
1605098590,86,2020/11/11 12:43
1605098591,87,2020/11/11 12:43
1605098592,88,2020/11/11 12:43
1605098595,88,2020/11/11 12:43
1605098596,87,2020/11/11 12:43
1605098598,86,2020/11/11 12:43
1605098599,85,2020/11/11 12:43
1605098602,84,2020/11/11 12:43
1605098605,84,2020/11/11 12:43
1605098608,84,2020/11/11 12:43
1605098609,84,2020/11/11 12:43
1605098612,84,2020/11/11 12:43
1605098615,84,2020/11/11 12:43
1605098618,84,2020/11/11 12:43
1605098621,84,2020/11/11 12:43
1605098624,82,2020/11/11 12:43
1605098625,81,2020/11/11 12:43
1605098627,80,2020/11/11 12:43
1605098628,80,2020/11/11 12:43
1605098631,80,2020/11/11 12:43
1605098634,80,2020/11/11 12:43
1605098635,80,2020/11/11 12:43
1605098636,81,2020/11/11 12:43
1605098637,82,2020/11/11 12:43
1605098639,83,2020/11/11 12:43
1605098642,83,2020/11/11 12:44
1605098645,83,2020/11/11 12:44
1605098648,83,2020/11/11 12:44
1605098650,84,2020/11/11 12:44
1605098653,84,2020/11/11 12:44
1605098656,83,2020/11/11 12:44
1605098657,82,2020/11/11 12:44
1605098658,82,2020/11/11 12:44
1605098661,82,2020/11/11 12:44
1605098662,81,2020/11/11 12:44
1605098665,81,2020/11/11 12:44
1605098668,81,2020/11/11 12:44
1605098671,81,2020/11/11 12:44
1605098674,81,2020/11/11 12:44
1605098676,82,2020/11/11 12:44
1605098679,82,2020/11/11 12:44
1605098682,82,2020/11/11 12:44
1605098685,82,2020/11/11 12:44
1605098686,83,2020/11/11 12:44
1605098689,83,2020/11/11 12:44
1605098692,83,2020/11/11 12:44
1605098695,83,2020/11/11 12:44
1605098697,82,2020/11/11 12:44
1605098698,82,2020/11/11 12:44
1605098699,81,2020/11/11 12:44
1605098700,80,2020/11/11 12:45
1605098703,80,2020/11/11 12:45
1605098706,80,2020/11/11 12:45
1605098709,80,2020/11/11 12:45
1605098711,81,2020/11/11 12:45
1605098713,81,2020/11/11 12:45
1605098716,81,2020/11/11 12:45
1605098719,81,2020/11/11 12:45
1605098720,83,2020/11/11 12:45
1605098721,84,2020/11/11 12:45
1605098723,85,2020/11/11 12:45
1605098725,86,2020/11/11 12:45
1605098726,86,2020/11/11 12:45
1605098729,86,2020/11/11 12:45
1605098732,86,2020/11/11 12:45
1605098735,86,2020/11/11 12:45
1605098737,85,2020/11/11 12:45
1605098739,85,2020/11/11 12:45
1605098741,84,2020/11/11 12:45
1605098744,83,2020/11/11 12:45
1605098747,83,2020/11/11 12:45
1605098749,84,2020/11/11 12:45
1605098752,84,2020/11/11 12:45
1605098755,84,2020/11/11 12:45
1605098756,83,2020/11/11 12:45
1605098757,83,2020/11/11 12:45
1605098758,84,2020/11/11 12:45
1605098759,85,2020/11/11 12:45
1605098760,86,2020/11/11 12:46
1605098762,86,2020/11/11 12:46
1605098765,86,2020/11/11 12:46
1605098766,85,2020/11/11 12:46
1605098769,85,2020/11/11 12:46
1605098771,84,2020/11/11 12:46
1605098773,81,2020/11/11 12:46
1605098774,81,2020/11/11 12:46
1605098776,78,2020/11/11 12:46
1605098777,77,2020/11/11 12:46
1605098780,77,2020/11/11 12:46
1605098783,76,2020/11/11 12:46
1605098786,76,2020/11/11 12:46
1605098789,76,2020/11/11 12:46
1605098790,77,2020/11/11 12:46
1605098791,77,2020/11/11 12:46
1605098793,78,2020/11/11 12:46
1605098796,78,2020/11/11 12:46
1605098799,78,2020/11/11 12:46
1605098802,78,2020/11/11 12:46
1605098804,79,2020/11/11 12:46
1605098807,79,2020/11/11 12:46
1605098810,79,2020/11/11 12:46
1605098812,80,2020/11/11 12:46
1605098813,80,2020/11/11 12:46
1605098815,79,2020/11/11 12:46
1605098818,79,2020/11/11 12:46
1605098819,80,2020/11/11 12:46
1605098821,81,2020/11/11 12:47
1605098822,81,2020/11/11 12:47
1605098823,80,2020/11/11 12:47
1605098825,80,2020/11/11 12:47
1605098827,79,2020/11/11 12:47
1605098829,79,2020/11/11 12:47
1605098832,79,2020/11/11 12:47
1605098835,79,2020/11/11 12:47
1605098838,78,2020/11/11 12:47
1605098841,78,2020/11/11 12:47
1605098844,78,2020/11/11 12:47
1605098846,78,2020/11/11 12:47
1605098848,79,2020/11/11 12:47
1605098851,79,2020/11/11 12:47
1605098852,78,2020/11/11 12:47
1605098854,77,2020/11/11 12:47
1605098857,77,2020/11/11 12:47
1605098860,77,2020/11/11 12:47
1605098861,78,2020/11/11 12:47
1605098864,78,2020/11/11 12:47
1605098865,77,2020/11/11 12:47
1605098867,76,2020/11/11 12:47
1605098870,76,2020/11/11 12:47
1605098871,77,2020/11/11 12:47
1605098874,77,2020/11/11 12:47
1605098877,77,2020/11/11 12:47
1605098880,77,2020/11/11 12:48
1605098881,78,2020/11/11 12:48
1605098884,78,2020/11/11 12:48
1605098887,78,2020/11/11 12:48
1605098889,78,2020/11/11 12:48
1605098890,77,2020/11/11 12:48
