uts,value,time
1605098401,86,2020/11/11 12:40
1605098406,87,2020/11/11 12:40
1605098416,88,2020/11/11 12:40
1605098421,89,2020/11/11 12:40
1605098426,89,2020/11/11 12:40
1605098436,93,2020/11/11 12:40
1605098441,94,2020/11/11 12:40
1605098446,92,2020/11/11 12:40
1605098456,92,2020/11/11 12:40
1605098466,91,2020/11/11 12:41
1605098471,90,2020/11/11 12:41
1605098486,90,2020/11/11 12:41
1605098491,89,2020/11/11 12:41
1605098496,89,2020/11/11 12:41
1605098506,90,2020/11/11 12:41
1605098521,90,2020/11/11 12:42
1605098531,91,2020/11/11 12:42
1605098536,92,2020/11/11 12:42
1605098541,93,2020/11/11 12:42
1605098546,94,2020/11/11 12:42
1605098551,95,2020/11/11 12:42
1605098556,93,2020/11/11 12:42
1605098566,92,2020/11/11 12:42
1605098576,93,2020/11/11 12:42
1605098581,92,2020/11/11 12:43
1605098586,88,2020/11/11 12:43
1605098591,88,2020/11/11 12:43
1605098596,89,2020/11/11 12:43
1605098606,81,2020/11/11 12:43
1605098611,78,2020/11/11 12:43
1605098626,78,2020/11/11 12:43
1605098631,79,2020/11/11 12:43
1605098641,80,2020/11/11 12:44
1605098656,81,2020/11/11 12:44
1605098661,80,2020/11/11 12:44
1605098671,81,2020/11/11 12:44
1605098676,82,2020/11/11 12:44
1605098681,83,2020/11/11 12:44
1605098686,87,2020/11/11 12:44
1605098691,89,2020/11/11 12:44
1605098696,83,2020/11/11 12:44
1605098711,83,2020/11/11 12:45
1605098716,82,2020/11/11 12:45
1605098726,83,2020/11/11 12:45
1605098731,83,2020/11/11 12:45
1605098736,82,2020/11/11 12:45
1605098746,83,2020/11/11 12:45
1605098751,82,2020/11/11 12:45
1605098756,84,2020/11/11 12:45
1605098761,85,2020/11/11 12:46
1605098766,86,2020/11/11 12:46
1605098771,83,2020/11/11 12:46
1605098776,82,2020/11/11 12:46
1605098791,82,2020/11/11 12:46
1605098801,84,2020/11/11 12:46
1605098806,86,2020/11/11 12:46
1605098811,87,2020/11/11 12:46
1605098821,88,2020/11/11 12:47
1605098826,89,2020/11/11 12:47
1605098836,82,2020/11/11 12:47
1605098841,85,2020/11/11 12:47
1605098856,85,2020/11/11 12:47
1605098861,86,2020/11/11 12:47
1605098876,82,2020/11/11 12:47
1605098881,80,2020/11/11 12:48
1605098896,80,2020/11/11 12:48
1605098911,80,2020/11/11 12:48
1605098915,80,2020/11/11 12:48
1605098920,82,2020/11/11 12:48
1605098925,84,2020/11/11 12:48
1605098930,85,2020/11/11 12:48
1605098935,82,2020/11/11 12:48
1605098940,83,2020/11/11 12:49
1605098945,83,2020/11/11 12:49
1605098960,83,2020/11/11 12:49
1605098965,84,2020/11/11 12:49
1605098970,83,2020/11/11 12:49
1605098985,83,2020/11/11 12:49
1605099000,83,2020/11/11 12:50
1605099005,81,2020/11/11 12:50
1605099020,83,2020/11/11 12:50
1605099025,85,2020/11/11 12:50
1605099030,86,2020/11/11 12:50
1605099045,86,2020/11/11 12:50
1605099055,87,2020/11/11 12:50
1605099065,86,2020/11/11 12:51
1605099070,87,2020/11/11 12:51
1605099080,88,2020/11/11 12:51
1605099095,89,2020/11/11 12:51
1605099100,88,2020/11/11 12:51
1605099105,86,2020/11/11 12:51
1605099120,86,2020/11/11 12:52
1605099130,84,2020/11/11 12:52
1605099135,81,2020/11/11 12:52
1605099140,80,2020/11/11 12:52
1605099155,80,2020/11/11 12:52
1605099165,81,2020/11/11 12:52
1605099170,82,2020/11/11 12:52
1605099185,81,2020/11/11 12:53
1605099195,80,2020/11/11 12:53
1605099200,79,2020/11/11 12:53
1605099205,82,2020/11/11 12:53
1605099210,83,2020/11/11 12:53
1605099220,84,2020/11/11 12:53
1605099235,85,2020/11/11 12:53
1605099250,85,2020/11/11 12:54
1605099260,83,2020/11/11 12:54
1605099265,82,2020/11/11 12:54
1605099270,80,2020/11/11 12:54
1605099275,79,2020/11/11 12:54
1605099280,78,2020/11/11 12:54
1605099290,80,2020/11/11 12:54
1605099295,81,2020/11/11 12:54
1605099300,78,2020/11/11 12:55
1605099310,77,2020/11/11 12:55
1605099320,78,2020/11/11 12:55
1605099325,79,2020/11/11 12:55
1605099330,78,2020/11/11 12:55
1605099335,77,2020/11/11 12:55
1605099340,76,2020/11/11 12:55
1605099345,73,2020/11/11 12:55
1605099350,72,2020/11/11 12:55
1605099355,73,2020/11/11 12:55
