uts,value,time
1605098402,89,2020/11/11 12:40
1605098405,89,2020/11/11 12:40
1605098408,89,2020/11/11 12:40
1605098411,89,2020/11/11 12:40
1605098413,90,2020/11/11 12:40
1605098416,90,2020/11/11 12:40
1605098419,90,2020/11/11 12:40
1605098422,90,2020/11/11 12:40
1605098425,90,2020/11/11 12:40
1605098428,90,2020/11/11 12:40
1605098431,90,2020/11/11 12:40
1605098434,91,2020/11/11 12:40
1605098437,91,2020/11/11 12:40
1605098438,92,2020/11/11 12:40
1605098440,91,2020/11/11 12:40
1605098443,91,2020/11/11 12:40
1605098444,91,2020/11/11 12:40
1605098447,91,2020/11/11 12:40
1605098450,91,2020/11/11 12:40
1605098453,91,2020/11/11 12:40
1605098456,91,2020/11/11 12:40
1605098457,92,2020/11/11 12:40
1605098458,92,2020/11/11 12:40
1605098461,93,2020/11/11 12:41
1605098463,92,2020/11/11 12:41
1605098466,92,2020/11/11 12:41
1605098469,92,2020/11/11 12:41
1605098472,92,2020/11/11 12:41
1605098475,92,2020/11/11 12:41
1605098478,92,2020/11/11 12:41
1605098481,92,2020/11/11 12:41
1605098484,92,2020/11/11 12:41
1605098487,93,2020/11/11 12:41
1605098490,93,2020/11/11 12:41
1605098493,93,2020/11/11 12:41
1605098496,93,2020/11/11 12:41
1605098499,92,2020/11/11 12:41
1605098502,92,2020/11/11 12:41
1605098505,91,2020/11/11 12:41
1605098508,91,2020/11/11 12:41
1605098509,90,2020/11/11 12:41
1605098512,90,2020/11/11 12:41
1605098515,90,2020/11/11 12:41
1605098518,90,2020/11/11 12:41
1605098521,90,2020/11/11 12:42
1605098524,90,2020/11/11 12:42
1605098527,90,2020/11/11 12:42
1605098530,90,2020/11/11 12:42
1605098531,90,2020/11/11 12:42
1605098532,90,2020/11/11 12:42
1605098535,90,2020/11/11 12:42
1605098538,90,2020/11/11 12:42
1605098541,90,2020/11/11 12:42
1605098544,90,2020/11/11 12:42
1605098547,90,2020/11/11 12:42
1605098550,90,2020/11/11 12:42
1605098553,90,2020/11/11 12:42
1605098556,90,2020/11/11 12:42
1605098559,90,2020/11/11 12:42
1605098560,89,2020/11/11 12:42
1605098563,89,2020/11/11 12:42
1605098564,88,2020/11/11 12:42
1605098565,87,2020/11/11 12:42
1605098568,86,2020/11/11 12:42
1605098570,85,2020/11/11 12:42
1605098573,85,2020/11/11 12:42
1605098576,85,2020/11/11 12:42
1605098579,85,2020/11/11 12:42
1605098581,84,2020/11/11 12:43
1605098582,83,2020/11/11 12:43
1605098583,82,2020/11/11 12:43
1605098586,82,2020/11/11 12:43
